Feature,Score
NOCount,138.91196894138452
MolMR,134.97672362409818
NumHeteroatoms,103.46867351485695
EState_VSA1,90.71104062914982
PEOE_VSA10,86.13277750727488
VSA_EState1,83.7655776389668
BCUT2D_MRHI,76.87138143483625
PEOE_VSA7,71.4310665197533
SPS,67.57552916301077
SlogP_VSA3,61.475354919860784
NumRotatableBonds,53.94305660430509
NumAliphaticCarbocycles,52.89281128306901
VSA_EState8,51.34919679396557
EState_VSA10,48.99204651491412
SMR_VSA10,43.25068199623681
fr_N_O,38.829783185648466
SlogP_VSA6,36.620966326306736
VSA_EState7,36.00447725548935
SlogP_VSA7,35.32361736398403
qed,34.29374017357782
VSA_EState9,33.295863995908874
SMR_VSA8,33.007836883477694
EState_VSA6,32.12182376618026
NumHDonors,27.304352854005423
SMR_VSA7,24.93902635074258
NumAromaticHeterocycles,24.494666651637683
fr_benzodiazepine,24.494666651637683
SlogP_VSA10,24.143060182259624
EState_VSA7,23.355862256746946
VSA_EState5,22.91372807368001
PEOE_VSA11,22.81358845907532
VSA_EState4,22.260579591915338
VSA_EState6,20.076464471885224
PEOE_VSA8,19.652401785497826
HeavyAtomCount,18.771453581513626
SlogP_VSA1,16.69739954756641
SlogP_VSA12,16.69739954756641
EState_VSA5,16.596101618214185
fr_ArN,14.274644929972848
EState_VSA8,14.24412592692854
VSA_EState3,13.748923223707449
fr_piperdine,13.570281631247004
fr_phos_ester,13.570281631247004
PEOE_VSA2,13.373796642967056
fr_Al_OH_noTert,13.327291971833363
fr_Al_OH,13.260555535806095
SlogP_VSA4,12.982249128352361
FractionCSP3,11.425829714552425
fr_phenol_noOrthoHbond,11.414537974255799
MinEStateIndex,11.274788050023227
fr_urea,11.170370657617081
fr_phos_acid,10.94622998160704
fr_COO,10.862688758409515
fr_azide,10.472290229303836
EState_VSA11,10.439979355530713
NumHAcceptors,9.993212124691322
BCUT2D_MWLOW,9.653241788038896
fr_NH2,9.329301260336832
fr_phenol,8.987859380140689
fr_amide,8.890532617511674
AvgIpc,8.596287251385604
BCUT2D_CHGLO,8.413824449136316
SlogP_VSA5,7.528300988631377
SMR_VSA2,7.0977886133813
BCUT2D_LOGPHI,7.005630558888603
PEOE_VSA13,6.898716028004463
NumAliphaticHeterocycles,6.626445783374007
fr_Ar_N,6.591563520483175
NumAliphaticRings,6.433177548206373
SlogP_VSA2,6.273498868429226
fr_COO2,6.138603719585343
fr_C_O,6.138603719585343
Chi4v,6.137608462256853
fr_morpholine,6.046990678440225
MolLogP,5.920988051917124
PEOE_VSA3,5.788554490421306
BertzCT,5.121636572809112
VSA_EState10,5.08736608992823
fr_halogen,4.8470880929091535
